internal_ID,RA,Dec,S_RF,S_colour,Sep_max,Sep_min,Sep_mean,Grade,Grade_by_LR,NUM_OF_IMG,in_KLQ,in_D22,in_L22,Grade_by_D22,Classification_by_L22,q,phi,rein,minimised_chi2,BIC,NOTE
10734732,213.9426137,11.4953078,0.92,0.53,5.329369608,2.434351851,3.562960023,A,A,4,1,0,0,,,,,,,,
10736889,258.683945,11.12768835,0.96,0.7,2.511953647,2.511953647,2.511953647,B,B,2,0,0,0,,,,,,,,
10738339,340.3212705,10.88105678,0.92,0.76,0.760396147,0.760396147,0.760396147,B,C,2,0,0,0,,,,,,,,
10738363,200.6514529,10.87806928,0.98,0.6,7.557332896,3.030783655,5.070459687,B,A,5,1,0,0,,,,,,,,
10739128,250.0760013,10.75139338,0.98,0.62,1.103739899,1.103739467,1.103739683,C,C,2,1,0,0,,,,,,,,
10739756,232.4121191,10.63439451,0.99,0.81,0.656624931,0.656624843,0.656624887,A,B,2,1,0,0,,,,,,,,
10741270,260.1963171,10.37873064,0.9,0.63,2.474646693,2.474646693,2.474646693,B,C,2,0,0,0,,,,,,,,
10745256,148.8728256,9.721643271,0.91,0.53,1.994606402,1.994606402,1.994606402,C,C,2,0,0,0,,,,,,,,
10745518,330.3805488,9.674406439,0.91,0.79,2.281340684,2.281340684,2.281340684,C,A,2,0,0,0,,,,,,,,
10810092,158.8303908,7.882571886,0.94,0.91,2.646008358,2.646008358,2.646008358,B,A,2,0,0,0,,,,,,,,
10810528,347.2844502,7.818981897,0.91,0.73,2.218709303,2.218709303,2.218709303,C,A,2,0,0,0,,,,,,,,
10812777,22.58593535,7.4211866,0.98,0.92,2.059008483,2.059008483,2.059008483,A,B,2,0,1,1,B,NIQ,,,,,,
10815046,242.9264353,7.042304926,0.98,0.88,1.825551186,1.825551186,1.825551186,B,B,2,0,1,0,B,,,,,,,
10818579,244.7060818,6.47676665,0.97,0.8,1.157864905,1.157864905,1.157864905,B,C,2,0,1,0,A,,,,,,,
10819585,253.6537108,6.325411199,0.93,0.59,2.262866809,2.262866809,2.262866809,C,A,2,0,0,0,,,,,,,,
10825143,237.235499,5.428366358,0.93,0.58,2.729438047,2.729438047,2.729438047,B,A,2,0,0,0,,,,,,,,
10827698,217.2308885,5.005791706,0.86,0.92,2.22921224,2.22921224,2.22921224,A,A,2,0,1,1,A,NIQ,,,,,,
10830167,247.439402,4.592732089,0.99,0.95,3.343860521,3.343833375,3.343846948,C,C,3,0,1,0,C,,,,,,,
10831546,247.1518159,4.375172374,0.98,0.72,2.17584939,2.17584939,2.17584939,B,C,2,0,0,0,,,,,,,,
10832437,339.3236455,4.238092978,0.98,0.87,2.630818513,2.630818513,2.630818513,C,A,2,0,0,0,,,,,,,,
10837745,37.49246889,3.34197228,0.99,0.88,2.082121207,2.082121207,2.082121207,A,A,2,0,1,0,A,,,,,,,
